processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBMNB11810-20	MT076587	11566233	EADF_627		Mined from GenBank, NCBI		BOLD:AAB6418	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	595073	Scomberoidinae	3544	Scomberoides	20619	Scomberoides tol					Cuvier, 1832																																									
GBMND50971-21	MW538653	12935875		MW538653	Mined from GenBank, NCBI		BOLD:AAB9930	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3546	Caranx	68578	Caranx hippos					Linnaeus, 1766																												United States													
GBMND65377-21	MT508503	13676489		MT508503	Mined from GenBank, NCBI		BOLD:AAB6796	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	59233	Decapterus maruadsi					(Temminck & Schlegel, 1843)																																									
GBMNE36912-21	LC501892	14269121	LC501892		Mined from GenBank, NCBI		BOLD:AAB3382	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3549	Atule	18699	Atule mate					Cuvier, 1833																												Thailand													
GBMNE36928-21	LC501876	14269137	LC501876		Mined from GenBank, NCBI		BOLD:AAB3382	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3549	Atule	18699	Atule mate					Cuvier, 1833																												Thailand													
GBMNE36998-21	LC501806	14269207	LC501806		Mined from GenBank, NCBI		BOLD:AAB3382	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3549	Atule	18699	Atule mate					Cuvier, 1833																												Thailand													
GBMNE37114-21	LC502346	14269323	KAUM:I:78630		Mined from GenBank, NCBI		BOLD:ADI4344	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	18713	Decapterus macrosoma					Bleeker, 1851																												Malaysia													
GBMNE37185-21	LC502668	14269394	FRLM:49762		Mined from GenBank, NCBI		BOLD:AAB5271	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	64254	Megalaspis	64255	Megalaspis cordyla					Linnaeus, 1758																												Vietnam													
GBMNE37308-21	LC503186	14269517	TNSM:F:0010886		Mined from GenBank, NCBI		BOLD:AAB0871	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	28012	Selar	28013	Selar crumenophthalmus					Bloch, 1793																												Thailand													
GBMNE87356-22	ON995503	16499245			Mined from GenBank, NCBI		BOLD:AAB9930	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3546	Caranx	68578	Caranx hippos					Linnaeus, 1766																												United States													
GBMNF44038-22	MT646305	15409915	UMTF 9492	MT646305	Mined from GenBank, NCBI		BOLD:AAD6117	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	68583	Atropus	1140170	Atropus hedlandensis																																														
GBMNF44159-22	MW649917	15410036		MW649917	Mined from GenBank, NCBI		BOLD:AAC0331	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	68592	Selaroides	68593	Selaroides leptolepis					Cuvier, 1833																																									
GBMNF44161-22	MW649919	15410038		MW649919	Mined from GenBank, NCBI		BOLD:AAC0331	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	68592	Selaroides	68593	Selaroides leptolepis					Cuvier, 1833																																									
JFS116-14	DeRu4H	4775498	DeRu4H		Agricultural Research Organization, Volcani Center		BOLD:AAB6796	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	18714	Decapterus russelli			Daniel Golani		(Rüppell, 1830)																												Israel													
KANB031-17	AH9BM50	8341195	USNM:FISH:442297	KB17-124	Smithsonian Institution, National Museum of Natural History		BOLD:AAB0512	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	595073	Scomberoidinae	3544	Scomberoides	82070	Scomberoides lysan			Diane E. Pitassy		(Forsskål, 1775)		Vouchered:Registered Collection			D. Gross				Collected between 0-0.3 meters.									SL=22.3 mm.		21.4331	-157.791						0.3	United States	Hawaii			Hawaii, Oahu, Kaneohe Bay, Coconut Island, leeward	3206835	http://www.boldsystems.org/pics/KANB/USNM_442297_photograph_KB17_124_22.3mmSL_LRP_17_15+1507843026.JPG	Lateral	USNM 442297 photograph lateral view		2017	CreativeCommons � Attribution Non-Commercial (by-nc)	Smithsonian Institution National Museum of Natural History	Diane E. Pitassy
KANB103-17	AI2EP04	8341267	USNM:FISH:442472	KB17-299	Smithsonian Institution, National Museum of Natural History		BOLD:AAB0512	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	595073	Scomberoidinae	3544	Scomberoides	82070	Scomberoides lysan			Diane E. Pitassy		(Forsskål, 1775)		Vouchered:Registered Collection			L. Parenti, Z. Jaafar & D. Pitassy				Collected between 0-0.3 meters.									SL=32.1 mm.		21.5084	-157.839						0.3	United States	Hawaii			Hawaii, Oahu, north Kaneohe Bay, sandy shoreline a	3206914	http://www.boldsystems.org/pics/KANB/USNM_442472_photograph_KB17_299_32.1mmSL_LRP_17_52+1507843142.JPG	Lateral	USNM 442472 photograph lateral view		2017	CreativeCommons � Attribution Non-Commercial (by-nc)	Smithsonian Institution National Museum of Natural History	Diane E. Pitassy
LIFS650-08	UG0465	918204		2865	Australian Museum, Sydney		BOLD:AAC3390	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	669234	Trachinotinae	3540	Trachinotus	34205	Trachinotus blochii					(Lacepède, 1801)																		FAO-71		-14.669	145.462				2			Australia	Queensland	Lizard Island		I.44725	412162	http://www.boldsystems.org/pics/LIFS/UG0465_7969+1236629044.jpg	Lateral		CBG Photography Group	2009	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Jay Cossey
MARQ343-12	MARQ-344	2916583	USNM:FISH:409344	MARQ-344	Smithsonian Institution, National Museum of Natural History		BOLD:AAB0585	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3546	Caranx	11569	Caranx melampygus			Jeremie Viviani		Cuvier, 1833		Vouchered:Registered Collection			Jeff Williams, Serge Planes, Erwan Delrieu-Trottin, Johann Mourier, Charles Bedford				Collection depth: 0-3 m.										SL=135 mm.	-9.461	-140.064						-3	French Polynesia	Marquesas Islands			Marquesas, Ua Pou, on southwest side of island in	3205770	http://www.boldsystems.org/pics/MARQ/USNM_409344_135mmSL_photograph_MARQ_344_MARQ_2011_22+1507759278.JPG	Lateral	USNM 409344 photograph lateral view		2011	CreativeCommons � Attribution Non-Commercial (by-nc)	Smithsonian Institution National Museum of Natural History	Jeffrey T. Williams
